dia,mes,ano,hora,temp,hum,data
20.0,9.0,2021.0,15.0,32.648648648648646,15.405405405405405,20-9-2021 15
20.0,9.0,2021.0,16.0,33.483333333333334,13.983333333333333,20-9-2021 16
20.0,9.0,2021.0,17.0,31.7,16.2,20-9-2021 17
20.0,9.0,2021.0,18.0,30.25,17.55,20-9-2021 18
20.0,9.0,2021.0,19.0,29.133333333333333,20.7,20-9-2021 19
20.0,9.0,2021.0,20.0,28.383333333333333,26.166666666666668,20-9-2021 20
20.0,9.0,2021.0,21.0,27.45,42.03333333333333,20-9-2021 21
20.0,9.0,2021.0,22.0,26.05,54.1,20-9-2021 22
20.0,9.0,2021.0,23.0,25.466666666666665,55.56666666666667,20-9-2021 23
21.0,9.0,2021.0,0.0,25.0,56.9,21-9-2021 0
21.0,9.0,2021.0,1.0,24.766666666666666,58.53333333333333,21-9-2021 1
21.0,9.0,2021.0,2.0,24.0,59.45,21-9-2021 2
21.0,9.0,2021.0,3.0,24.0,60.766666666666666,21-9-2021 3
21.0,9.0,2021.0,4.0,24.0,57.916666666666664,21-9-2021 4
21.0,9.0,2021.0,5.0,23.333333333333332,52.1,21-9-2021 5
21.0,9.0,2021.0,6.0,23.55,50.983333333333334,21-9-2021 6
21.0,9.0,2021.0,7.0,24.3,47.96666666666667,21-9-2021 7
21.0,9.0,2021.0,8.0,25.71186440677966,43.932203389830505,21-9-2021 8
21.0,9.0,2021.0,9.0,28.7,33.6,21-9-2021 9
21.0,9.0,2021.0,10.0,31.283333333333335,21.95,21-9-2021 10
21.0,9.0,2021.0,11.0,33.38333333333333,16.333333333333332,21-9-2021 11
21.0,9.0,2021.0,12.0,32.71186440677966,16.83050847457627,21-9-2021 12
21.0,9.0,2021.0,13.0,31.383333333333333,34.96666666666667,21-9-2021 13
21.0,9.0,2021.0,14.0,27.3,43.6,21-9-2021 14
21.0,9.0,2021.0,15.0,25.25,48.2,21-9-2021 15
21.0,9.0,2021.0,16.0,23.733333333333334,49.666666666666664,21-9-2021 16
21.0,9.0,2021.0,17.0,22.833333333333332,49.1,21-9-2021 17
21.0,9.0,2021.0,18.0,22.0,51.983333333333334,21-9-2021 18
21.0,9.0,2021.0,19.0,21.466666666666665,55.53333333333333,21-9-2021 19
